acr-21,0.5,2,0.3,2,3,9,1,1,0.1,7,0.1,2,0.3,0.4,0.3,6,0.4,0.1,10,0.4,,,,,
lgc-11,1,0.2,7,0.8,2,1,0.1,1,1,0.1,3,2,0.3,1,2,3,0.8,,,,,,,,
acr-23,0.4,2,0.8,3,3,5,0.8,0.6,4,0.2,2,0.1,0.4,4,0.3,0.1,2,0.4,,,,,,,
act-1,28,80,135,39,305,28,41,316,452,409,247,129,94,149,59,337,129,118,186,73,176,133,25,296,125
act-2,60,612,376,105,497,461,91,206,161,379,269,1007,154,400,359,295,658,439,637,184,2599,127,395,436,927
act-3,35,85,144,46,418,35,79,452,460,789,194,125,117,207,43,441,144,187,158,65,228,102,69,281,162
act-4,1194,58,1261,1269,2088,28,1097,1368,2840,1928,1133,926,377,2030,404,1999,266,2965,635,408,441,1158,909,1014,1353
act-5,5,24,72,12,343,8,108,952,149,1335,589,362,43,120,15,435,19,57,839,380,57,33,11,503,264
acy-1,20,0.2,42,22,37,0.8,26,17,26,8,2,1,19,16,0.3,36,0.5,6,3,15,3,11,20,7,11
acy-2,1,14,11,3,0.2,12,2,3,1,0.3,0.1,5,1,0.1,3,0.1,0.9,0.6,3,0.4,0.5,1,1,0.8,
acy-3,3,4,4,27,0.8,12,16,6,13,4,2,7,19,0.5,25,0.5,9,3,8,3,4,15,13,10,
acy-4,0.7,0.7,0.1,10,3,0.2,4,3,7,3,1,2,5,4,0.5,4,0.4,3,3,6,0.3,0.4,0.4,7,1
add-1,25,0.2,17,9,8,0.1,11,10,3,8,3,2,4,4,0.3,9,0.9,2,4,4,1,2,1,7,3
add-2,0.3,6,9,2,21,7,12,10,102,10,4,6,95,16,7,17,16,12,8,77,13,5,0.7,11,13
adm-2,10,6,22,17,21,10,40,12,23,9,4,11,10,13,0.6,20,3,10,4,9,9,9,34,10,14
adm-4,0.3,10,2,1,6,10,3,7,4,7,2,8,4,6,1,6,3,5,6,4,6,3,3,3,6
adr-1,6,59,26,6,36,11,10,30,19,22,7,31,27,56,20,31,57,60,20,25,70,21,32,8,57
adr-2,3,76,11,7,40,38,20,17,23,22,10,41,30,60,45,30,72,61,44,30,75,16,30,11,67
