AT5G53830,4,5,2,
AT2G02100,125,192,92,
AT5G48720,4,4,4,
AT1G64360,6,6,5,
AT2G42365,0.2,0.6,0.8,
AT3G62500,3,5,0.8,
AT1G30960,3,3,16,
AT1G71500,197,179,352,
AT5G03610,12,14,9,
AT2G27810,13,19,10,
AT4G39361,16,9,10,
AT4G39363,6,9,8,
AT4G39364,19,8,12,
AT4G39366,13,14,9,
AT4G37930,1129,1208,471,
AT1G80840,2,27,2,
AT4G10090,7,6,5,
AT3G55500,1,2,8,
AT1G20930,8,8,10,
AT1G65010,20,27,99,
AT5G42540,21,22,22,
AT2G13100,8,12,9,
AT1G10230,12,16,98,
AT1G24030,1,1,1,
AT4G39090,147,326,189,
AT1G60620,5,4,3,
AT3G17420,4,3,4,
AT2G43940,3,6,18,
AT5G09820,8,9,43,
AT2G43945,98,62,38,
AT3G62330,8,12,11,
AT1G66660,4,4,7,
AT3G27650,1,1,2,
AT5G04340,2,9,5,
AT1G60990,25,20,62,
AT1G60995,10,12,5,
AT3G29590,10,0.3,5,
AT5G18210,5,4,3,
AT3G16480,19,22,39,
AT5G49540,18,25,12,
AT5G14570,17,16,37,
AT3G48800,11,5,19,
AT1G66590,2,2,13,
AT5G43630,17,20,9,
AT2G22570,3,5,6,
AT2G19970,0.8,1,0.1,
AT1G03530,5,5,14,
AT5G47390,21,40,7,
AT5G01445,4,2,0.6,
AT3G11280,24,18,16,
AT3G22680,3,3,2,
AT4G27320,18,22,6,
AT4G19600,9,13,18,
AT2G20590,3,3,8,
AT5G09315,4,6,4,
AT5G09310,10,9,2,
AT5G41770,24,22,50,
AT4G00110,5,3,2,
AT1G03280,11,21,33,
AT5G47020,11,27,10,
AT3G11130,40,54,32,
AT3G22970,36,68,95,
AT1G12860,22,46,13,
AT3G23080,44,56,18,
AT3G24535,2,1,0.3,
AT3G24530,10,8,23,
AT2G21880,4,4,2,
AT1G28470,0.7,0.6,0.5,
AT5G06690,26,46,31,
AT3G51990,4,4,4,
AT1G55980,0.9,0.3,0.2,
AT2G27060,6,10,6,
AT4G26055,0.6,0.6,5,
AT5G65950,14,23,10,
AT2G22680,1,2,0.7,
